Feature,Coefficient,Abs_Coefficient
Company_Razer,944.6880618566632,944.6880618566632
TypeName_Workstation,591.3975715104463,591.3975715104463
Company_LG,562.5733738667338,562.5733738667338
Company_Chuwi,-536.8820644809073,536.8820644809073
OpSys_Windows 7,436.44425702817006,436.44425702817006
Company_Mediacom,-402.76631174590676,402.76631174590676
Company_Vero,-364.52122670420397,364.52122670420397
TypeName_Notebook,-280.6847498975141,280.6847498975141
OpSys_Android,-260.44554634029976,260.44554634029976
Company_Huawei,-238.85850740485068,238.85850740485068
Company_Acer,-238.50181120429588,238.50181120429588
TypeName_Netbook,-232.74013905444252,232.74013905444252
Weight,195.54452304589643,195.54452304589643
Company_Microsoft,183.95717251912257,183.95717251912257
OpSys_No OS,-163.79716251129076,163.79716251129076
Company_Google,162.640440464655,162.640440464655
Company_Toshiba,159.52071425597723,159.52071425597723
Company_Fujitsu,-144.01332335457244,144.01332335457244
Company_Asus,-139.9876320277827,139.9876320277827
col_1,107.97121021060966,107.97121021060966
Company_Samsung,105.84705647296616,105.84705647296616
Touchscreen,-99.40725129373959,99.40725129373959
Company_Dell,-97.72177409140068,97.72177409140068
OpSys_macOS,92.94564971631691,92.94564971631691
Company_MSI,86.26564474976276,86.26564474976276
TypeName_Gaming,-79.31079415620317,79.31079415620317
OpSys_Chrome OS,-78.14900147118983,78.14900147118983
col_9,-75.33441387531269,75.33441387531269
Gpu_brand_AMD,-75.09470834290619,75.09470834290619
OpSys_Mac OS X,-70.72634067603764,70.72634067603764
OpSys_Windows 10,70.21927557171978,70.21927557171978
Cpu_brand_Intel,63.68763279538065,63.68763279538065
Cpu_brand_AMD,-63.68763279538065,63.68763279538065
Company_Lenovo,-59.36115795319637,59.36115795319637
col_4,58.12812018228885,58.12812018228885
col_2,-56.87399729395282,56.87399729395282
OpSys_Linux,-53.72412608166789,53.72412608166789
Ram,48.99877250631826,48.99877250631826
col_6,-46.116617985460046,46.116617985460046
Gpu_brand_Intel,42.163594188523234,42.163594188523234
Inches,-40.57445413869591,40.57445413869591
Gpu_brand_Nvidia,32.9311141543821,32.9311141543821
TypeName_Ultrabook,30.670878111239062,30.670878111239062
TypeName_2 in 1 Convertible,-29.332766513525,29.332766513525
col_0,28.762905582297016,28.762905582297016
OpSys_Windows 10 S,27.232994764279226,27.232994764279226
col_5,-24.310222441229058,24.310222441229058
Company_Apple,22.219309040278688,22.219309040278688
col_3,20.388339604006013,20.388339604006013
col_7,-8.866102109592475,8.866102109592475
Company_HP,-5.099618659601042,5.099618659601042
col_8,-3.749221873674987,3.749221873674987
SSD,0.8424505928022938,0.8424505928022938
Y_res,0.39672068035855546,0.39672068035855546
Flash_Storage,0.1488784143346038,0.1488784143346038
X_res,0.027118918421606963,0.027118918421606963
Hybrid,0.014760345314357437,0.014760345314357437
HDD,0.01174405273911816,0.01174405273911816
Company_Xiaomi,0.001654400554627955,0.001654400554627955
